userID,movieID,rating
201,175303,3.5
201,231,5.0
201,316,2.0
201,160565,3.0
201,135887,5.0
201,72294,2.5
202,1,4
202,3,4
202,6,4
202,47,5
202,50,5
202,70,3
202,101,5
202,110,4
202,151,5
202,157,5
202,163,5
202,216,5
202,223,3
202,231,5
202,235,4
202,260,5
202,296,3
202,316,3
202,333,5
202,349,4
202,356,4
202,362,5
202,367,4
202,423,3
202,441,4
202,457,5
202,480,4
202,500,3
202,527,5
202,543,4
202,552,4
202,553,5
202,590,4
202,592,4
202,593,4
202,596,5
202,608,5
202,648,3
202,661,5
202,673,3
202,733,4
202,736,3
202,780,3
202,804,4
202,919,5
202,923,5
202,940,5
202,943,4
202,954,5
202,1009,3
202,1023,5
202,1024,5
202,1025,5
202,1029,5
202,1030,3
202,1031,5
202,1032,5
202,1042,4
202,1049,5
202,1060,4
202,1073,5
202,1080,5
202,1089,5
202,1090,4
202,1092,5
202,1097,5
202,1127,4
202,1136,5
202,1196,5
202,1197,5
202,1198,5
202,1206,5
202,1208,4
202,1210,5
202,1213,5
202,1214,4
202,1219,2
202,1220,5
202,1222,5
202,1224,5
202,1226,5
202,1240,5
202,1256,5
202,1258,3
202,1265,4
202,1270,5
202,1275,5
202,1278,5
202,1282,5
202,1291,5
202,1298,5
202,1348,4
202,1377,3
202,1396,3
202,1408,3
202,1445,3
202,1473,4
202,1500,4
202,1517,5
202,1552,4
202,1573,5
202,1580,3
202,1587,5
202,1617,5
202,1620,4
202,1625,5
202,1644,3
202,1676,3
202,1732,5
202,1777,4
202,1793,4
202,1804,5
202,1805,4
202,1920,4
202,1927,5
202,1954,5
202,1967,4
202,2000,4
202,2005,5
202,2012,4
202,2018,5
202,2028,4
202,2033,5
202,2046,4
202,2048,5
202,2054,4
202,2058,5
202,2078,5
202,2090,5
202,2093,3
202,2094,5
202,2096,4
202,2099,4
202,2105,4
202,2115,5
202,2116,5
202,2137,5
202,2139,5
202,2141,5
202,2143,4
202,2161,5
202,2174,4
202,2193,4
202,2253,2
202,2268,4
202,2273,4
202,2291,5
202,2329,5
202,2338,2
202,2353,5
202,2366,4
202,2387,5
202,2389,2
202,2395,5
202,2406,4
202,2414,3
202,2427,5
202,2450,4
202,2459,5
202,2470,5
202,2478,4
202,2492,4
202,2502,5
202,2528,3
202,2529,5
202,2542,5
202,2571,5
202,2580,5
202,2596,5
202,2616,4
202,2617,2
202,2628,4
202,2640,4
202,2641,5
202,2644,4
202,2648,4
202,2654,5
202,2657,3
202,2692,5
202,2700,5
202,2716,5
202,2761,5
202,2797,4
202,2826,4
202,2858,5
202,2872,5
202,2899,5
202,2916,4
202,2944,5
202,2947,5
202,2948,5
202,2949,5
202,2959,5
202,2985,4
202,2987,5
202,2991,5
202,2993,5
202,2997,4
202,3033,5
202,3034,5
202,3052,5
202,3053,5
202,3062,4
202,3147,5
202,3168,4
202,3176,1
202,3243,3
202,3247,3
202,3253,5
202,3273,5
202,3386,5
202,3439,4
202,3440,4
202,3441,5
202,3448,5
202,3450,5
202,3479,4
202,3489,4
202,3527,4
202,3578,5
202,3617,4
202,3639,4
202,3671,5
202,3702,5
202,3703,5
202,3729,5
202,3740,4
202,3744,4
202,3793,5
202,3809,4
202,4006,4
202,5060,5
203,318,3
203,333,4
203,1704,4.5
203,3578,4
203,6874,4
203,8798,3.5
203,46970,4
203,48516,4
203,58559,4.5
203,60756,5
203,68157,4.5
203,71535,3
203,74458,4
203,77455,3
203,79132,4
203,80489,4.5
203,80906,5
203,86345,4
203,89774,5
203,91529,3.5
203,91658,2.5
203,99114,3.5
203,106782,5
203,109487,3
203,112552,4
203,114060,2
203,115713,3.5
203,122882,5
203,131724,5
204,31,0.5
204,527,0.5
204,647,0.5
204,688,0.5
204,720,0.5
204,849,5
204,914,0.5
204,1093,0.5
204,1124,0.5
204,1263,0.5
204,1272,0.5
204,1275,3.5
204,1302,0.5
204,1371,3
204,1587,4.5
204,2018,0.5
204,2080,0.5
204,2090,0.5
204,2105,2
204,2288,4
204,2424,0.5
204,2851,5
204,3024,4.5
204,3210,0.5
204,3703,5
204,3949,0.5
204,4518,5
204,5048,0.5
204,5181,5
204,5746,5
204,5764,4.5
204,5919,5
204,6238,0.5
204,6835,5
204,7899,4.5
204,7991,5
204,26409,4.5
204,70946,5
204,72378,0.5
205,21,3
205,32,2
205,45,3
205,47,2
205,52,3
205,58,3
205,106,4
205,125,5
205,126,1
205,162,5
205,171,3
205,176,5
205,190,2
205,215,5
205,222,1
205,232,5
205,235,2
205,247,3
205,260,5
205,265,5
205,296,1
205,319,5
205,342,5
205,345,4
205,348,4
205,351,3
205,357,3
205,368,4
205,417,2
205,441,1
205,450,2
205,457,5
205,475,5
205,492,5
205,509,1
205,538,5
205,539,1
205,553,2
205,588,4
205,593,5
205,595,3
205,599,2
205,608,5
205,648,3
205,708,4
205,759,3
205,800,4
205,892,4
205,898,5
205,899,4
205,902,4
205,904,4
205,908,5
205,910,5
205,912,5
205,914,5
205,919,5
205,920,5
205,930,5
205,937,3
205,1025,4
205,1046,5
205,1057,3
205,1060,2
205,1073,4
205,1077,5
205,1079,2
205,1080,5
205,1084,5
205,1086,5
205,1094,3
205,1103,5
205,1136,5
205,1179,4
205,1183,1
205,1188,5
205,1196,5
205,1197,5
205,1198,3
205,1199,2
205,1203,5
205,1211,1
205,1213,4
205,1219,4
205,1225,4
205,1250,5
205,1259,4
205,1265,4
205,1266,4
205,1279,2
205,1282,5
205,1283,5
205,1288,4
205,1291,4
205,1304,3
205,1391,1
205,1449,5
205,1466,4
205,1500,4
205,1517,4
205,1580,3
205,1597,1
205,1617,2
205,1641,4
205,1704,1
205,1719,4
205,1732,4
205,1733,5
205,1734,3
205,1834,5
205,1860,2
205,1883,4
205,1885,3
205,1892,2
205,1895,4
205,1907,3
205,1914,4
205,1916,1
205,1923,3
205,1947,5
205,1966,2
205,1967,5
205,1968,4
205,2019,2
205,2076,4
205,2078,5
205,2109,4
205,2145,3
205,2150,5
205,2174,5
205,2186,5
205,2203,4
205,2204,5
205,2282,1
205,2324,1
205,2336,2
205,2351,4
205,2359,4
205,2390,5
205,2395,3
205,2406,4
205,2467,4
205,2571,1
205,2583,5
205,2599,5
205,2628,1
205,2683,4
205,2692,5
205,2712,2
205,2762,4
205,2763,1
205,2770,2
205,2791,5
205,2843,5
205,2858,5
205,2874,4
205,2921,4
205,2926,5
205,2959,2
205,2973,2
205,2997,4
