movieId,cover_link
69757,"https://m.media-amazon.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX101_CR0,0,101,150_.jpg"
8169,"https://m.media-amazon.com/images/M/MV5BM2JlMDgxOTYtNmI2My00YzY1LWIyZTgtYzY0MjY3Y2RiZmY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX101_CR0,0,101,150_.jpg"
5706,"https://m.media-amazon.com/images/M/MV5BNWVmNTc5NGMtMDIzMC00NTczLWFhOWQtNDYzOTAwMjU1ODc0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX101_CR0,0,101,150_.jpg"
3420,"https://m.media-amazon.com/images/M/MV5BMDk1MTljZjAtZDY5MC00YTAwLTk5MzEtZTMyMjI4YzRmZjcxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX101_CR0,0,101,150_.jpg"
157110,"https://m.media-amazon.com/images/M/MV5BOTQzMzQzMTkyNV5BMl5BanBnXkFtZTcwNjI4NTAyMQ@@._V1_SX101_CR0,0,101,150_.jpg"
44943,"https://m.media-amazon.com/images/M/MV5BMTIyMzUyNzYzNV5BMl5BanBnXkFtZTcwMTk2NzEyMQ@@._V1_SY150_CR2,0,101,150_.jpg"
889,"https://m.media-amazon.com/images/M/MV5BMTk0Mzk2OTM1MV5BMl5BanBnXkFtZTcwOTU4MDEzMQ@@._V1_SY150_CR2,0,101,150_.jpg"
6658,"https://m.media-amazon.com/images/M/MV5BYWFjMTkwYzAtZWE4OC00OGIwLTgwOTUtY2IwNTgwZTkxMzM0L2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX101_CR0,0,101,150_.jpg"
139717,"https://m.media-amazon.com/images/M/MV5BMjQyNTIyNDU0Ml5BMl5BanBnXkFtZTgwNjA1NDkxNjE@._V1_SY150_CR2,0,101,150_.jpg"
152077,"https://m.media-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SY150_CR0,0,101,150_.jpg"
49284,"https://m.media-amazon.com/images/M/MV5BMTI1MTU4NjYzMV5BMl5BanBnXkFtZTcwNTg1NzQ0MQ@@._V1_SY150_CR2,0,101,150_.jpg"
2572,"https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg"
98230,"https://m.media-amazon.com/images/M/MV5BNTY3NTY3ODAzOF5BMl5BanBnXkFtZTcwMTI4MDQyOA@@._V1_SY150_CR0,0,101,150_.jpg"
58293,"https://m.media-amazon.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_SY150_CR0,0,101,150_.jpg"
7541,"https://m.media-amazon.com/images/M/MV5BMTA0MjA5MjM3NDFeQTJeQWpwZ15BbWU4MDMxODU4ODkx._V1_SX101_CR0,0,101,150_.jpg"
168350,"https://m.media-amazon.com/images/M/MV5BMTc5NjQ3NzkzM15BMl5BanBnXkFtZTgwMDU2MTQ2MDI@._V1_SY150_CR0,0,101,150_.jpg"
1367,"https://m.media-amazon.com/images/M/MV5BMGI2NTQ2N2EtNDExMS00OWM2LTkzZWItZGUzY2M2MDFjODk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR0,0,101,150_.jpg"
2085,"https://m.media-amazon.com/images/M/MV5BZGMyMjE4OGUtNGZmMC00YzdmLThkMWYtZWIzMmEzNjA4MzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg"
121099,"https://m.media-amazon.com/images/M/MV5BM2U0MDJkYWMtYmU0NS00ZjFkLWE2MTMtNzA5OTQ5ZWZiODI3XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_SX101_CR0,0,101,150_.jpg"
6344,"https://m.media-amazon.com/images/M/MV5BMTIyNTEzMDE4N15BMl5BanBnXkFtZTYwMTk1NDk5._V1_SY150_CR2,0,101,150_.jpg"
3991,https://m.media-amazon.com/images/M/MV5BYmEzOTcxNzUtYmVjMS00MzNiLWJjNTEtOTY3MTE2ZjVkMGQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_SX101_.jpg
55391,"https://m.media-amazon.com/images/M/MV5BMjE1NDE0Nzk3MV5BMl5BanBnXkFtZTcwMjE3ODQzMQ@@._V1_SY150_CR2,0,101,150_.jpg"
27251,"https://m.media-amazon.com/images/M/MV5BMTc4NTcyNzgwMV5BMl5BanBnXkFtZTcwMTU4NjUyMQ@@._V1_SY150_CR3,0,101,150_.jpg"
4434,"https://m.media-amazon.com/images/M/MV5BYjNhMDJjOTYtMTA5OC00MzUxLTk4MjgtOTRhYjliMDdlMzI4XkEyXkFqcGdeQXVyNTE1MTU0Mzc@._V1_SY150_CR3,0,101,150_.jpg"
7789,"https://m.media-amazon.com/images/M/MV5BMzkxMjI4MjYtNjYzMC00ZTE1LWJlNjAtNWIyYzU3Njc3ODRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR1,0,101,150_.jpg"
27674,"https://m.media-amazon.com/images/M/MV5BMGM2MzVlMTMtNzVjNC00MTFiLTkzZDctZjMwMTJlNjJkYWZhXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX101_CR0,0,101,150_.jpg"
66320,"https://m.media-amazon.com/images/M/MV5BMTc3MjE1NDc1MV5BMl5BanBnXkFtZTcwMzU0MDE1MQ@@._V1_SY150_CR0,0,101,150_.jpg"
1203,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX101_CR0,0,101,150_.jpg"
77846,"https://m.media-amazon.com/images/M/MV5BZmY4NjczYTgtZDM1NC00OGUxLTkzYzgtMWZmOGY4NjkwMGFmXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_SY150_CR0,0,101,150_.jpg"
141816,"https://m.media-amazon.com/images/M/MV5BNzcxM2U4ZGItZmU0MC00MWZmLTlhZDUtNmIyNGFjYmRmNDBmXkEyXkFqcGdeQXVyNDM1ODc2NzE@._V1_SY150_CR2,0,101,150_.jpg"
141844,"https://m.media-amazon.com/images/M/MV5BMmIzYTY2YTktNTczMi00OGU4LTg1NTgtNzlhMzUzMDFhNGRhXkEyXkFqcGdeQXVyMzQzNDc4NTQ@._V1_SX101_CR0,0,101,150_.jpg"
70361,"https://m.media-amazon.com/images/M/MV5BMTU1MzM1ODkxM15BMl5BanBnXkFtZTcwNDY1MTA0Mg@@._V1_SY150_CR0,0,101,150_.jpg"
105844,"https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SY150_CR0,0,101,150_.jpg"
81562,"https://m.media-amazon.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SY150_CR0,0,101,150_.jpg"
